content,aspect,t_aspect,p_aspect,t_emotion,p_emotion,aspect_attention,emotion_attention
for a restaurant with such a good reputation and that is usually so packed there was no reason for such a lack of intelligent customer service,ambience,0,0,2,2,"[[0.00154825 0.00757763 0.32386312 0.17183632 0.17862102 0.03718408
  0.01246204 0.03543411 0.04046606 0.0191286  0.00498838 0.00165164
  0.00129706 0.00890263 0.00076931 0.00029421 0.00028366 0.00025566
  0.00055745 0.00589914 0.00438863 0.00624151 0.00674509 0.00716102
  0.00546834 0.11697502]]","[[0.01677792 0.04714607 0.79902744 0.0071965  0.0024426  0.00239801
  0.00159755 0.00224666 0.00049232 0.00023337 0.0000482  0.00009137
  0.00002386 0.00000417 0.00000292 0.00000053 0.00000177 0.00000052
  0.00000331 0.00012862 0.00019573 0.00009447 0.00162354 0.03675792
  0.04249308 0.03897163]]"
for a restaurant with such a good reputation and that is usually so packed there was no reason for such a lack of intelligent customer service,drinks,0,0,2,2,"[[0.00570062 0.00207078 0.00215751 0.00526075 0.01394406 0.00363145
  0.00285047 0.02979483 0.01219417 0.0203269  0.00713191 0.01370497
  0.00674263 0.06290669 0.00764033 0.00917832 0.01038424 0.008095
  0.00974755 0.02667907 0.01082445 0.01655026 0.03208214 0.01978081
  0.0265608  0.63405925]]","[[0.00001378 0.0000198  0.00390768 0.01554822 0.00026909 0.00046951
  0.00072765 0.22137973 0.00000726 0.00000248 0.0002615  0.00000181
  0.00000195 0.00040886 0.00000019 0.00007172 0.00000024 0.00007173
  0.00054268 0.00003023 0.00005687 0.03791936 0.67248297 0.01525802
  0.03054663 0.        ]]"
for a restaurant with such a good reputation and that is usually so packed there was no reason for such a lack of intelligent customer service,food,0,0,2,2,"[[0.0049372  0.00110656 0.0063069  0.00389772 0.02127835 0.00204778
  0.00164405 0.00829726 0.01730243 0.03671278 0.01993436 0.02808958
  0.01231628 0.19235642 0.00661914 0.01498781 0.01013363 0.00443636
  0.00421701 0.02161602 0.00253568 0.00690827 0.00935255 0.00292942
  0.00683989 0.55319655]]","[[0.00000656 0.00000462 0.00002146 0.0000378  0.00007006 0.00003401
  0.00004663 0.00022491 0.00059401 0.0003866  0.00154988 0.00019233
  0.00012538 0.00053018 0.00001161 0.00008159 0.00000633 0.00002805
  0.00004038 0.00004331 0.00002435 0.00047044 0.01925275 0.14670041
  0.82950944 0.00000693]]"
for a restaurant with such a good reputation and that is usually so packed there was no reason for such a lack of intelligent customer service,location,0,0,2,2,"[[0.0021176  0.00343351 0.06466889 0.04618201 0.08815955 0.0140855
  0.00545889 0.03644025 0.02014292 0.01758995 0.00629699 0.00530651
  0.00377496 0.0340518  0.00402225 0.00489205 0.00666379 0.00484773
  0.00782516 0.04756436 0.0177047  0.01924257 0.02373221 0.01595665
  0.03754073 0.46229845]]","[[0.00003663 0.00010222 0.00028303 0.00004034 0.00000139 0.00000269
  0.00000161 0.0000124  0.00000006 0.00000002 0.00000001 0.00000001
  0.         0.         0.         0.         0.         0.
  0.         0.         0.00000001 0.00000002 0.00010223 0.13584837
  0.8635686  0.00000038]]"
for a restaurant with such a good reputation and that is usually so packed there was no reason for such a lack of intelligent customer service,restaurant,1,0,1,2,"[[0.04461601 0.02063253 0.15690462 0.10284892 0.1913694  0.01348545
  0.00255924 0.03074673 0.01247832 0.01597697 0.00610033 0.00419987
  0.00171021 0.02899009 0.00153797 0.00199928 0.00168785 0.00121848
  0.00166655 0.00843399 0.00162054 0.00252006 0.00506048 0.00248563
  0.00498734 0.33416316]]","[[0.13929895 0.14933176 0.61395025 0.03421171 0.00074454 0.00061977
  0.00050394 0.00315947 0.00002491 0.0000142  0.00001293 0.00001386
  0.00001125 0.00000859 0.00000454 0.00000385 0.00000297 0.00000304
  0.00000501 0.00001186 0.00001399 0.00003358 0.00069894 0.01151786
  0.04553534 0.00026291]]"
for a restaurant with such a good reputation and that is usually so packed there was no reason for such a lack of intelligent customer service,service,1,1,-1,-1,"[[0.00000048 0.0000002  0.00000163 0.00000208 0.00000445 0.00000113
  0.00000088 0.00003034 0.00000515 0.00000922 0.00000325 0.00000427
  0.00000224 0.00001157 0.00000432 0.00001474 0.0000308  0.00001198
  0.0000096  0.00003828 0.00001629 0.00005562 0.00008223 0.00096977
  0.03557469 0.9631148 ]]","[[0.         0.         0.         0.         0.         0.
  0.         0.         0.00000002 0.00000002 0.00000001 0.00000002
  0.00000002 0.00000001 0.00000025 0.0000001  0.00000154 0.00000061
  0.0000011  0.00000252 0.00000152 0.00001727 0.00362593 0.23946218
  0.7563958  0.0004912 ]]"
unhygienic,ambience,0,0,2,2,[[1.]],[[1.]]
unhygienic,drinks,0,0,2,2,[[1.]],[[1.]]
unhygienic,food,1,0,-1,2,[[1.]],[[1.]]
unhygienic,location,0,0,2,2,[[1.]],[[1.]]
unhygienic,restaurant,0,0,2,2,[[1.]],[[1.]]
unhygienic,service,0,0,2,2,[[1.]],[[1.]]
i do not recommend,ambience,0,0,2,2,[[0.05461761 0.2106303  0.3106007  0.42415142]],[[0.00008148 0.00014453 0.00021293 0.999561  ]]
i do not recommend,drinks,0,0,2,2,[[0.14351806 0.26004568 0.23574173 0.36069453]],[[0.19985253 0.39497995 0.40483338 0.00033414]]
i do not recommend,food,0,0,2,2,[[0.10925086 0.09851814 0.23552836 0.5567026 ]],[[0.06796915 0.0904589  0.15223034 0.6893416 ]]
i do not recommend,location,0,0,2,2,[[0.06201311 0.2699997  0.33699784 0.33098933]],[[0.00245753 0.00391217 0.98885345 0.00477685]]
i do not recommend,restaurant,1,0,-1,1,[[0.15468273 0.20976357 0.253673   0.38188073]],[[0.12059765 0.14402714 0.15790227 0.5774729 ]]
i do not recommend,service,0,0,2,2,[[0.17474769 0.40928933 0.22150734 0.19445565]],[[0.00075944 0.99786144 0.00077768 0.0006014 ]]
i got hair in my food 2 times of then,ambience,0,0,2,2,"[[0.00121455 0.00138517 0.0298638  0.02500186 0.00504073 0.32993478
  0.20318222 0.09442709 0.17014554 0.13980427]]","[[0.00000342 0.00000121 0.00001609 0.00000122 0.00000753 0.99956423
  0.00004847 0.00001265 0.00006353 0.00028159]]"
i got hair in my food 2 times of then,drinks,0,0,2,2,"[[0.00861353 0.01766539 0.08119968 0.02163533 0.00812743 0.41621968
  0.2354361  0.04336852 0.08735795 0.08037638]]","[[0.00016342 0.38403496 0.00463533 0.34834844 0.03299637 0.
  0.01205516 0.21637452 0.0013806  0.00001124]]"
i got hair in my food 2 times of then,food,1,1,-1,-1,"[[0.00144658 0.00152734 0.01766401 0.00589209 0.00050291 0.94624245
  0.01008349 0.00130481 0.00650665 0.00882964]]","[[0.00336149 0.01256281 0.01109053 0.12831827 0.65949285 0.14244998
  0.00743496 0.00750464 0.01157914 0.0162054 ]]"
i got hair in my food 2 times of then,location,0,0,2,2,"[[0.00040545 0.0015522  0.04269386 0.02373887 0.00324195 0.6149502
  0.19316065 0.03947394 0.06090167 0.01988123]]","[[0.00241102 0.01253818 0.03776218 0.00675657 0.00324731 0.5998076
  0.05667432 0.07665593 0.1059593  0.0981876 ]]"
i got hair in my food 2 times of then,restaurant,0,0,2,2,"[[0.0141061  0.01533735 0.14154103 0.02875617 0.00185901 0.6716757
  0.08029021 0.00909737 0.02629187 0.0110452 ]]","[[0.00476119 0.04485657 0.04579506 0.25112867 0.574798   0.02924931
  0.02122998 0.01954871 0.0056519  0.00298059]]"
i got hair in my food 2 times of then,service,0,0,2,2,"[[0.05678108 0.08553486 0.44144014 0.01441533 0.0040022  0.11675506
  0.13393913 0.04990779 0.04003036 0.05719405]]","[[0.00298074 0.00187983 0.9898664  0.00024782 0.00012576 0.00009708
  0.00340626 0.00091023 0.00024821 0.00023768]]"
great place great value,ambience,0,0,2,2,[[0.03708491 0.4008347  0.40708405 0.15499634]],[[0.11545067 0.11545067 0.7615904  0.00750825]]
great place great value,drinks,0,0,2,2,[[0.15327501 0.24416098 0.17142008 0.4311439 ]],[[0.463263   0.463263   0.07271752 0.00075651]]
great place great value,food,0,0,2,2,[[0.15747648 0.2723543  0.1894893  0.38067988]],[[0.26144192 0.26144192 0.32538623 0.15172991]]
great place great value,location,0,0,2,2,[[0.15374863 0.5027202  0.23017196 0.11335923]],[[0.95216554 0.0442231  0.00180565 0.00180565]]
great place great value,restaurant,1,0,1,1,[[0.20446977 0.47663587 0.16995901 0.14893535]],[[0.96266985 0.00433342 0.01649838 0.01649838]]
great place great value,service,0,0,2,2,[[0.23159125 0.35370234 0.24821638 0.16649003]],[[0.00002256 0.99997675 0.00000036 0.00000036]]
the food is flavorful plentiful and reasonably priced,ambience,0,0,2,2,"[[0.00042214 0.01450502 0.0055505  0.43123943 0.45213634 0.05530983
  0.03856747 0.00226927]]","[[0.00000001 0.00000001 0.00000003 0.00002075 0.9998     0.00016686
  0.00000945 0.00000282]]"
the food is flavorful plentiful and reasonably priced,drinks,0,0,2,2,"[[0.00046699 0.0102272  0.00109767 0.9694788  0.01809188 0.00032778
  0.0002562  0.0000535 ]]","[[0.00000131 0.00006763 0.00450547 0.         0.99051917 0.00289879
  0.00001217 0.00199546]]"
the food is flavorful plentiful and reasonably priced,food,1,1,1,1,"[[0.00110047 0.31944537 0.00142258 0.67495275 0.00296218 0.00006521
  0.00003983 0.00001158]]","[[0.00812112 0.08036457 0.35340086 0.00006719 0.5151101  0.040646
  0.00003255 0.00225774]]"
the food is flavorful plentiful and reasonably priced,location,0,0,2,2,"[[0.00148978 0.05463577 0.00642205 0.73120826 0.19067378 0.00950174
  0.00560469 0.00046391]]","[[0.00100159 0.00615473 0.02427419 0.00156619 0.6958186  0.26909393
  0.00012671 0.00196401]]"
the food is flavorful plentiful and reasonably priced,restaurant,0,0,2,2,"[[0.00131625 0.07040334 0.00282869 0.8739885  0.0503509  0.00067765
  0.00040044 0.00003421]]","[[0.00167977 0.07342496 0.20751356 0.00000001 0.71123606 0.00586934
  0.00000276 0.00027359]]"
the food is flavorful plentiful and reasonably priced,service,0,0,2,2,"[[0.01098351 0.15267362 0.01328614 0.5782566  0.15605515 0.02975156
  0.05557256 0.00342088]]","[[0.00000942 0.00000781 0.00000801 0.99907863 0.00021819 0.00061175
  0.00004516 0.00002109]]"
the atmosphere is relaxed and casual,ambience,1,1,1,1,[[0.0004019  0.991732   0.00036447 0.00744168 0.00003229 0.00002768]],[[0.55660963 0.0000547  0.42372382 0.01756998 0.00157508 0.00046683]]
the atmosphere is relaxed and casual,drinks,0,0,2,2,[[0.39126387 0.57604986 0.01415221 0.01143233 0.00337743 0.00372429]],[[0.54782784 0.00000015 0.40246707 0.04816292 0.00115915 0.00038294]]
the atmosphere is relaxed and casual,food,0,0,2,2,[[0.5315901  0.44799584 0.01011251 0.00328508 0.00306585 0.00395065]],[[0.03770978 0.59472024 0.17771935 0.10350563 0.05083567 0.03550925]]
the atmosphere is relaxed and casual,location,0,0,2,2,[[0.11013289 0.87557286 0.00729581 0.00666086 0.00024977 0.00008779]],[[0.93808043 0.00000096 0.06113436 0.00074215 0.00003033 0.00001158]]
the atmosphere is relaxed and casual,restaurant,0,0,2,2,[[0.16098745 0.836506   0.00147167 0.00095789 0.00003508 0.00004191]],[[0.9290012  0.00000034 0.06954995 0.00136612 0.00004917 0.00003316]]
the atmosphere is relaxed and casual,service,0,0,2,2,[[0.36541763 0.5573924  0.02760541 0.03430464 0.0066937  0.00858621]],[[0.00000209 0.99999785 0.00000002 0.00000001 0.00000005 0.00000004]]
"[""it's"", 'a great place to order from or sit-in",ambience,0,0,2,2,"[[0.03116152 0.03136979 0.10843721 0.47872502 0.07931387 0.0981582
  0.02046908 0.01608    0.13628529]]","[[0.00376656 0.00503763 0.00938411 0.98141634 0.00007195 0.00003395
  0.00005864 0.00005617 0.00017477]]"
"[""it's"", 'a great place to order from or sit-in",drinks,0,0,2,2,"[[0.33789387 0.0553635  0.03862799 0.05942266 0.03468426 0.35904646
  0.02870741 0.02038502 0.06586882]]","[[0.02120738 0.02086067 0.05184807 0.90494984 0.00056521 0.
  0.00034955 0.00010825 0.00011118]]"
"[""it's"", 'a great place to order from or sit-in",food,0,0,2,2,"[[0.514946   0.04285681 0.02417795 0.0321003  0.01044002 0.15814652
  0.02679276 0.0148232  0.17571646]]","[[0.04517384 0.21318734 0.42202184 0.28029132 0.00442697 0.02560552
  0.00343632 0.00182338 0.00403347]]"
"[""it's"", 'a great place to order from or sit-in",location,0,0,2,2,"[[0.06389049 0.05208909 0.08504166 0.19887315 0.05390874 0.45949176
  0.04274255 0.01305588 0.03090671]]","[[0.09186383 0.11160759 0.3801451  0.41563696 0.00019442 0.00028217
  0.00011341 0.00004821 0.00010826]]"
"[""it's"", 'a great place to order from or sit-in",restaurant,1,0,1,1,"[[0.7402341  0.08009861 0.03570588 0.05170789 0.00738803 0.05974622
  0.00412234 0.00164793 0.01934903]]","[[0.01273707 0.24575272 0.48284543 0.2531569  0.00111031 0.00226882
  0.00079806 0.00053102 0.0007997 ]]"
"[""it's"", 'a great place to order from or sit-in",service,0,0,2,2,"[[0.08215456 0.01759322 0.01521099 0.02810088 0.02665404 0.7734238
  0.01538711 0.00774555 0.03372987]]","[[0.0028468  0.00057116 0.0009098  0.00022097 0.00034679 0.99450654
  0.00020766 0.00017531 0.00021483]]"
inexpensive unassuming great time,ambience,1,0,1,2,[[0.01282475 0.9398705  0.03593782 0.01136694]],[[0.9849341  0.00405619 0.00100288 0.01000688]]
inexpensive unassuming great time,drinks,0,0,2,2,[[0.14946936 0.79848    0.03157788 0.0204728 ]],[[0.9930061  0.00000001 0.00007437 0.00691947]]
inexpensive unassuming great time,food,0,0,2,2,[[0.07509596 0.83811694 0.05387872 0.03290837]],[[0.83877283 0.00201592 0.02856741 0.1306439 ]]
inexpensive unassuming great time,location,0,0,2,2,[[0.04603114 0.9227971  0.02381067 0.00736108]],[[0.8947277  0.00001359 0.00638428 0.09887458]]
inexpensive unassuming great time,restaurant,1,0,1,2,[[0.03829823 0.94503    0.01268093 0.00399087]],[[0.9860233  0.00000048 0.00054965 0.01342655]]
inexpensive unassuming great time,service,0,0,2,2,[[0.02609652 0.94624215 0.01679737 0.01086396]],[[0.1214054  0.87556756 0.00073719 0.00228975]]
sushi experience was unbelievable with my fiance,ambience,0,0,2,2,"[[0.33837265 0.2808318  0.03752335 0.21789105 0.1071197  0.00695365
  0.0113078 ]]","[[0.90501976 0.00021654 0.001105   0.01585864 0.02885871 0.01792606
  0.03101542]]"
sushi experience was unbelievable with my fiance,drinks,0,0,2,2,"[[0.967239   0.02083326 0.00619288 0.00471281 0.00056451 0.00011935
  0.00033818]]","[[0.         0.77989477 0.20680454 0.01265169 0.0006324  0.0000004
  0.0000162 ]]"
sushi experience was unbelievable with my fiance,food,1,1,1,1,"[[0.9967964  0.00182618 0.00052811 0.00080164 0.00003116 0.00000322
  0.00001328]]","[[0.01779797 0.89269286 0.0845945  0.00434766 0.00047432 0.00003028
  0.00006241]]"
sushi experience was unbelievable with my fiance,location,0,0,2,2,"[[0.65983033 0.15091017 0.05293582 0.10701828 0.02584239 0.00138784
  0.00207519]]","[[0.00072407 0.01142786 0.06331012 0.33970946 0.39116544 0.02871855
  0.16494448]]"
sushi experience was unbelievable with my fiance,restaurant,0,0,2,2,"[[0.9600163  0.03013455 0.00493852 0.00447763 0.00038755 0.00001373
  0.00003172]]","[[0.00000023 0.79783696 0.19486256 0.00715    0.0001467  0.00000036
  0.00000326]]"
sushi experience was unbelievable with my fiance,service,0,0,2,2,"[[0.63390845 0.24803542 0.06327311 0.04018566 0.01174535 0.00075056
  0.00210146]]","[[0.53957015 0.14814228 0.21664539 0.08821797 0.00678594 0.00017738
  0.0004608 ]]"
try it,ambience,0,0,2,2,[[0.34038174 0.65961826]],[[0.02203112 0.9779689 ]]
try it,drinks,0,0,2,2,[[0.6128298 0.3871702]],[[0.01728177 0.9827183 ]]
try it,food,0,0,2,2,[[0.46691483 0.53308517]],[[0.5426817  0.45731825]]
try it,location,0,0,2,2,[[0.5999671 0.4000329]],[[0.94156694 0.05843309]]
try it,restaurant,1,0,1,1,[[0.550727 0.449273]],[[0.40786976 0.5921303 ]]
try it,service,0,0,2,2,[[0.805793 0.194207]],[[0.9931179  0.00688202]]
very pleased,ambience,0,0,2,2,[[0.3188751  0.68112487]],[[0.41510984 0.5848901 ]]
very pleased,drinks,0,0,2,2,[[0.2506816 0.7493184]],[[0.9993672  0.00063285]]
very pleased,food,0,0,2,2,[[0.19342162 0.8065784 ]],[[0.9167462  0.08325379]]
very pleased,location,0,0,2,2,[[0.30457568 0.6954243 ]],[[0.8963998  0.10360023]]
very pleased,restaurant,1,0,1,1,[[0.27947643 0.72052354]],[[0.979293   0.02070704]]
very pleased,service,0,0,2,2,[[0.15820816 0.8417918 ]],[[0.02105575 0.9789443 ]]
good creative rolls,ambience,0,0,2,2,[[0.00064041 0.22136354 0.77799606]],[[0.03225041 0.7229863  0.24476339]]
good creative rolls,drinks,0,0,2,2,[[0.00022021 0.01071537 0.98906446]],[[0.1412046  0.85879445 0.00000096]]
good creative rolls,food,1,1,1,1,[[0.00003999 0.00199817 0.9979618 ]],[[0.3248383  0.67227614 0.00288558]]
good creative rolls,location,0,0,2,2,[[0.00074226 0.04157927 0.9576785 ]],[[0.16455539 0.79174143 0.04370321]]
good creative rolls,restaurant,0,0,2,2,[[0.00017644 0.01657736 0.9832462 ]],[[0.3207615  0.6792322  0.00000625]]
good creative rolls,service,0,0,2,2,[[0.00097716 0.02629511 0.9727277 ]],[[0.02714234 0.08020987 0.89264774]]
yamato is an excellent place to go if youre not into sashimi or if you have friends who doesnt like sushi much,ambience,0,0,2,2,"[[0.01112703 0.00386736 0.00959902 0.01259827 0.04266213 0.00431273
  0.00044069 0.0002693  0.00020161 0.00006424 0.00078809 0.01101843
  0.00054231 0.00014594 0.0001458  0.00006453 0.00104796 0.00252827
  0.01263004 0.03179867 0.8183398  0.03580777]]","[[0.00589218 0.00849037 0.06482825 0.15731226 0.01746569 0.00001881
  0.00000356 0.00000004 0.         0.         0.         0.
  0.         0.00000001 0.00000002 0.         0.00000068 0.00032311
  0.00019567 0.00241033 0.74187773 0.00118142]]"
yamato is an excellent place to go if youre not into sashimi or if you have friends who doesnt like sushi much,drinks,0,0,2,2,"[[0.00318909 0.00011132 0.00005557 0.00008317 0.00004885 0.00001946
  0.00000787 0.00003157 0.00004787 0.00005228 0.00059433 0.8255378
  0.00084892 0.00016345 0.00006572 0.00004683 0.00011449 0.00135852
  0.00100537 0.00143384 0.16445555 0.00072813]]","[[0.00004592 0.00169882 0.00025645 0.00188748 0.02774289 0.00000888
  0.00168338 0.00002593 0.00679065 0.00061538 0.61012644 0.
  0.00157062 0.00037043 0.00050471 0.11230073 0.0525333  0.00184995
  0.10592645 0.07009207 0.00383418 0.00013536]]"
yamato is an excellent place to go if youre not into sashimi or if you have friends who doesnt like sushi much,food,0,1,2,-1,"[[0.00030212 0.00000782 0.00000266 0.00000413 0.00000265 0.00000043
  0.00000016 0.00000044 0.00000079 0.00000221 0.00007741 0.7787468
  0.00008301 0.00000433 0.00000055 0.00000065 0.00000063 0.00004357
  0.00011723 0.0001619  0.22026983 0.0001707 ]]","[[0.00635613 0.00399779 0.00107678 0.00157026 0.00097865 0.00010533
  0.00016987 0.00016475 0.00028397 0.00244176 0.00349507 0.00527964
  0.00504328 0.00031984 0.00021399 0.00063403 0.00215615 0.01656853
  0.05867346 0.38428733 0.48270074 0.02348265]]"
yamato is an excellent place to go if youre not into sashimi or if you have friends who doesnt like sushi much,location,0,0,2,2,"[[0.00360148 0.00105595 0.00161827 0.00389512 0.00394676 0.00057971
  0.00011888 0.000191   0.00018928 0.0001625  0.00209485 0.38762724
  0.00620665 0.00158344 0.00095773 0.00044302 0.00180601 0.01313348
  0.01428961 0.01649676 0.53607774 0.00392451]]","[[0.00109422 0.02159422 0.05200549 0.47929195 0.44598424 0.00000273
  0.00001692 0.         0.         0.         0.         0.
  0.         0.00000001 0.00000002 0.00000001 0.00000037 0.0000012
  0.00000305 0.00000416 0.00000057 0.00000079]]"
yamato is an excellent place to go if youre not into sashimi or if you have friends who doesnt like sushi much,restaurant,1,0,1,2,"[[0.17041819 0.0104297  0.00568314 0.00619949 0.00383852 0.00030379
  0.00002723 0.00004501 0.00003385 0.00002148 0.00039946 0.3493376
  0.00081495 0.00014754 0.0000517  0.0000242  0.00006712 0.00086132
  0.00114791 0.00182477 0.44664732 0.0016757 ]]","[[0.06774029 0.15787603 0.08699739 0.46428594 0.21494935 0.00030649
  0.00082329 0.00003215 0.00005894 0.00003706 0.00005433 0.00015818
  0.00006688 0.00003365 0.00004193 0.0000392  0.00013693 0.00048677
  0.0008596  0.00393985 0.00059748 0.00047826]]"
yamato is an excellent place to go if youre not into sashimi or if you have friends who doesnt like sushi much,service,0,0,2,2,"[[0.01463535 0.00123082 0.00066598 0.00491687 0.00120154 0.00051455
  0.00011024 0.00033406 0.00032421 0.00025159 0.00046705 0.38544098
  0.00325121 0.00127985 0.00097214 0.00032683 0.00193324 0.0744249
  0.02127786 0.00733147 0.47381866 0.00529058]]","[[0.03683119 0.02004177 0.00708842 0.0448982  0.01266955 0.00125126
  0.00058672 0.00031323 0.00023604 0.00028555 0.00017989 0.00129305
  0.0008426  0.00014524 0.00010746 0.00009234 0.00086573 0.07127655
  0.01707098 0.01273455 0.7624604  0.00872929]]"
they have great rolls the triple color and norwegetan rolls are awesome and filling,ambience,0,0,2,2,"[[0.00007684 0.00010955 0.00330764 0.23709922 0.16799453 0.03398287
  0.06104975 0.02989757 0.02859885 0.21320876 0.01267041 0.02417296
  0.02530137 0.1625297 ]]","[[0.00000001 0.         0.00000516 0.9644639  0.00280309 0.00213475
  0.00471358 0.00739978 0.00143622 0.00121498 0.00045587 0.00930563
  0.00384949 0.00221768]]"
they have great rolls the triple color and norwegetan rolls are awesome and filling,drinks,0,0,2,2,"[[0.00025929 0.00024941 0.00074781 0.946614   0.01366805 0.0072948
  0.0006808  0.00008028 0.00026605 0.02722656 0.00008718 0.00002921
  0.00003047 0.00276608]]","[[0.00000021 0.00005766 0.00305106 0.         0.00210487 0.00442327
  0.9206845  0.00034379 0.00027317 0.06834874 0.00071221 0.00000009
  0.00000011 0.00000033]]"
they have great rolls the triple color and norwegetan rolls are awesome and filling,food,1,1,1,1,"[[0.00002635 0.00004052 0.00020123 0.9764023  0.00250824 0.00014411
  0.00001682 0.00000528 0.000023   0.01861691 0.00001232 0.00000545
  0.0000045  0.00199296]]","[[0.00426855 0.03009701 0.42912915 0.00435012 0.00584903 0.00264541
  0.01081948 0.00137607 0.07476565 0.11649567 0.13270472 0.01372316
  0.01560273 0.15817334]]"
they have great rolls the triple color and norwegetan rolls are awesome and filling,location,0,0,2,2,"[[0.00004561 0.00012855 0.0020853  0.71941054 0.09403472 0.0133306
  0.00852527 0.00257526 0.00494825 0.1413478  0.00270291 0.00128816
  0.00065386 0.00892316]]","[[0.         0.         0.00000341 0.         0.01503294 0.00331671
  0.9697806  0.00582692 0.00003964 0.0037067  0.00214909 0.00007772
  0.00004035 0.00002585]]"
they have great rolls the triple color and norwegetan rolls are awesome and filling,restaurant,0,0,2,2,"[[0.00008489 0.00009243 0.00069003 0.9422722  0.04262234 0.00309114
  0.00058362 0.00005313 0.00013884 0.00991957 0.00002768 0.00000791
  0.00000396 0.00041226]]","[[0.00028905 0.01248562 0.94590956 0.0000001  0.00944822 0.00232185
  0.02615042 0.00056574 0.00014232 0.00228905 0.00038314 0.00000754
  0.00000214 0.00000505]]"
they have great rolls the triple color and norwegetan rolls are awesome and filling,service,0,0,2,2,"[[0.00040469 0.00033026 0.00127647 0.8425594  0.01943572 0.00239162
  0.00053516 0.00034808 0.00137982 0.11282085 0.00095253 0.00040005
  0.00056843 0.01659694]]","[[0.00000579 0.00000384 0.00023422 0.9868368  0.00001041 0.00000469
  0.00000353 0.00000721 0.00978431 0.00137631 0.00006212 0.00009662
  0.00030346 0.00127077]]"
one special roll and one regular roll is enough to fill you up but save room for dessert,ambience,0,0,2,2,"[[0.0001037  0.00118091 0.03371495 0.01698689 0.00325248 0.00206542
  0.05447423 0.00464903 0.00264434 0.000895   0.00508289 0.00043998
  0.00043419 0.00033665 0.00026913 0.8596652  0.00058215 0.01322287]]","[[0.00030437 0.00034036 0.00011103 0.00074251 0.00025171 0.00022699
  0.00009007 0.00019485 0.00026002 0.00067442 0.00108587 0.00099438
  0.00117071 0.00082222 0.02170431 0.9624984  0.00670499 0.00182272]]"
one special roll and one regular roll is enough to fill you up but save room for dessert,drinks,0,0,2,2,"[[0.00861838 0.02477789 0.376319   0.0147291  0.01051609 0.01471501
  0.08266415 0.00113824 0.00130445 0.00049033 0.00932169 0.0002392
  0.00018716 0.00021918 0.00067493 0.00282015 0.00096791 0.45029715]]","[[0.01132111 0.02154577 0.27973723 0.01902304 0.01321017 0.01912476
  0.15688202 0.02333612 0.01569117 0.0045283  0.1163642  0.00465409
  0.00479406 0.00496961 0.06694283 0.16144603 0.07642727 0.00000221]]"
one special roll and one regular roll is enough to fill you up but save room for dessert,food,1,0,1,2,"[[0.00262298 0.00845705 0.32125646 0.0022047  0.00106037 0.00142746
  0.05692178 0.00015516 0.00006808 0.00001944 0.00020156 0.00000409
  0.00000528 0.00001173 0.0000601  0.00029847 0.00030132 0.60492396]]","[[0.06146337 0.12023084 0.15422472 0.09903849 0.04734701 0.05343651
  0.09372529 0.00989178 0.0015081  0.0006065  0.00070758 0.00053366
  0.00061235 0.00070503 0.00214444 0.03539441 0.29761156 0.02081838]]"
one special roll and one regular roll is enough to fill you up but save room for dessert,location,0,0,2,2,"[[0.00074117 0.00730026 0.21089183 0.03085023 0.01815933 0.03304735
  0.54069203 0.0198316  0.01039836 0.00616461 0.03818006 0.00264822
  0.00182641 0.00163057 0.00264421 0.03870109 0.00079693 0.03549574]]","[[0.00123481 0.00202337 0.02200593 0.00843287 0.0014439  0.00074306
  0.00002129 0.02560812 0.02780319 0.00810049 0.40566114 0.01664873
  0.01117824 0.00448956 0.29587436 0.16620728 0.00240549 0.00011826]]"
one special roll and one regular roll is enough to fill you up but save room for dessert,restaurant,0,0,2,2,"[[0.01044706 0.04547753 0.8506651  0.0215678  0.00726279 0.00607568
  0.05212526 0.00047547 0.00012645 0.00003277 0.00026604 0.00000569
  0.00000383 0.00000365 0.00001296 0.00027111 0.0000168  0.00516401]]","[[0.14192374 0.35612163 0.00120746 0.26105863 0.02707508 0.03186379
  0.10231034 0.01859024 0.00160961 0.00042799 0.00146468 0.00057536
  0.00049374 0.00049151 0.00665138 0.02830945 0.01416849 0.00565683]]"
one special roll and one regular roll is enough to fill you up but save room for dessert,service,0,0,2,2,"[[0.00509006 0.01761275 0.4833448  0.02085851 0.0124541  0.03783349
  0.35948485 0.00286697 0.00225077 0.00226129 0.01494914 0.00155292
  0.00050795 0.00034022 0.0016891  0.0089287  0.00076703 0.02720735]]","[[0.00648161 0.00646492 0.86354285 0.01127716 0.02076184 0.06315048
  0.02156471 0.0023188  0.0006505  0.00098512 0.00054352 0.00060757
  0.00044636 0.00044403 0.00029411 0.00032852 0.00006862 0.00006944]]"
they have a delicious banana chocolate dessert as well as a great green tea tempura,ambience,0,0,2,2,"[[0.00003706 0.00005066 0.0004602  0.04314196 0.03515443 0.08956493
  0.21435305 0.03448498 0.02636547 0.02068038 0.00956408 0.01193425
  0.01747405 0.05864866 0.43808582]]","[[0.         0.         0.         0.00000001 0.00000006 0.
  0.         0.00000007 0.00000011 0.         0.00000027 0.00000096
  0.00000016 0.00000033 0.999998  ]]"
