content,aspect,t_aspect,p_aspect,t_emotion,p_emotion,aspect_attention,emotion_attention
the  food  was  great  the  margaritas  too  but  the  waitress  was  too  busy  being  nice  to  her  other  larger  party  than  to  take  better  care  of  my  friend  and  me,restaurant,0,0,2,2,"0.00071004 0.02557146 0.00050751 0.00050561 0.00149559 0.73240817
  0.0098561  0.00123229 0.00205587 0.2217708  0.00140497 0.0005133
  0.0010182  0.00008974 0.00026731 0.00024417 0.00006635 0.00001136
  0.00002717 0.00005679 0.00001378 0.000018   0.00001303 0.00001461
  0.00010395 0.00001035 0.00000288 0.00000751 0.00000142 0.00000169]]","0.01420867 0.00134308 0.00278344 0.00005764 0.8346149  0.11984134
  0.00051576 0.00026624 0.01759326 0.00396892 0.00025279 0.00158342
  0.00039652 0.00159321 0.00046564 0.00022261 0.00005922 0.00008335
  0.00010947 0.00002639 0.00000533 0.00000227 0.00000222 0.00000332
  0.00000055 0.0000002  0.00000007 0.00000001 0.00000013 0.00000005]]"
the  food  was  great  the  margaritas  too  but  the  waitress  was  too  busy  being  nice  to  her  other  larger  party  than  to  take  better  care  of  my  friend  and  me,service,1,1,-1,-1,"0.00005545 0.00067257 0.0002327  0.0001588  0.00024355 0.01280642
  0.00115915 0.00045816 0.00144051 0.9818816  0.00050598 0.00002915
  0.0000522  0.00000152 0.000002   0.00000078 0.00000108 0.00000005
  0.00000012 0.00000063 0.00000024 0.00000083 0.00000059 0.00000199
  0.00026493 0.00000623 0.0000043  0.00001578 0.00000082 0.00000187]]","0.00086542 0.00067104 0.00164638 0.00044899 0.03882102 0.01046739
  0.00158658 0.00178555 0.50359493 0.43835986 0.00138846 0.00025216
  0.00009388 0.00000739 0.00000055 0.00000043 0.00000228 0.00000076
  0.00000058 0.00000003 0.00000014 0.00000017 0.00000053 0.0000034
  0.00000021 0.0000012  0.00000011 0.00000002 0.00000034 0.00000023]]"
took  forever  to  get  our  order  taken  water  refills  were  too  much  to  ask  for  and  the  only  time  she  was  fast  was  when  we  asked  for  our  bill  when  we  could  get  her  attention,ambience,0,0,2,2,"0.06725183 0.68664986 0.06501573 0.01285091 0.00840865 0.00714787
  0.00139582 0.02749412 0.01779935 0.00039319 0.00180005 0.00092888
  0.0018026  0.0020011  0.00074074 0.00287895 0.00367321 0.00417375
  0.0085893  0.02821514 0.00098384 0.00045338 0.00018395 0.00153086
  0.00113352 0.00196887 0.00055306 0.00083483 0.00160838 0.00374614
  0.00149762 0.00113386 0.00066396 0.01181686 0.0226798 ]]","0.12262572 0.00047975 0.1966693  0.1510292  0.05762972 0.0365566
  0.03589189 0.00891367 0.00884235 0.00343684 0.00200213 0.00242424
  0.00558593 0.00523441 0.00274811 0.00125657 0.00375706 0.00205768
  0.00193484 0.00086284 0.00161561 0.00083847 0.00256257 0.01786515
  0.02154515 0.02073224 0.02744951 0.01611872 0.02521348 0.01833868
  0.01555509 0.01409915 0.06303045 0.04831998 0.05677702]]"
took  forever  to  get  our  order  taken  water  refills  were  too  much  to  ask  for  and  the  only  time  she  was  fast  was  when  we  asked  for  our  bill  when  we  could  get  her  attention,drinks,0,0,2,2,"0.02152416 0.23123842 0.008145   0.00421838 0.00455532 0.0090787
  0.00162559 0.09373931 0.15326656 0.00026998 0.0009204  0.00051777
  0.00081353 0.00671535 0.00107948 0.00096501 0.00610172 0.03350729
  0.04997231 0.12998234 0.01071922 0.00923055 0.00327467 0.01692197
  0.02234966 0.0516477  0.00501209 0.00674766 0.02772623 0.02713215
  0.01710073 0.00768667 0.00314328 0.01460479 0.018466  ]]","0.0035797  0.00000263 0.00191826 0.00741317 0.01341413 0.02286496
  0.03439921 0.09977702 0.1186263  0.00292929 0.00013055 0.0009849
  0.00199899 0.00454169 0.00491504 0.00054843 0.02995575 0.01568581
  0.11348185 0.01782333 0.15020087 0.00746468 0.01933734 0.02885934
  0.03528802 0.11490235 0.02895994 0.00656799 0.01610474 0.0029676
  0.00280067 0.00176065 0.07088906 0.00675259 0.01215317]]"
took  forever  to  get  our  order  taken  water  refills  were  too  much  to  ask  for  and  the  only  time  she  was  fast  was  when  we  asked  for  our  bill  when  we  could  get  her  attention,food,0,0,2,2,"0.30655548 0.42802677 0.00883811 0.00191559 0.00111734 0.00806551
  0.00323634 0.03511557 0.02359213 0.00030018 0.00065975 0.00018105
  0.00022706 0.00028612 0.00020106 0.00014388 0.00151089 0.00734253
  0.02555529 0.06276196 0.0105276  0.04290354 0.00566062 0.00838862
  0.00324599 0.00553158 0.0011852  0.00091705 0.00188426 0.00191713
  0.00071913 0.00033359 0.00014694 0.00053891 0.00046727]]","0.06709095 0.03090314 0.00863845 0.03891417 0.02568306 0.03427921
  0.04565387 0.32198    0.25455913 0.00616577 0.00088232 0.00087815
  0.00042556 0.00030354 0.00057194 0.00207477 0.01057365 0.00990039
  0.01278246 0.03368345 0.03104285 0.02552527 0.00898933 0.00979802
  0.00618569 0.00244608 0.00285867 0.00252542 0.00203103 0.0003913
  0.00021545 0.00015631 0.00052556 0.00102975 0.00033529]]"
took  forever  to  get  our  order  taken  water  refills  were  too  much  to  ask  for  and  the  only  time  she  was  fast  was  when  we  asked  for  our  bill  when  we  could  get  her  attention,location,0,0,2,2,"0.07976172 0.13381547 0.03872635 0.01345345 0.01608921 0.08490423
  0.01287962 0.04287748 0.07120249 0.00180173 0.00164149 0.00097614
  0.00723992 0.02326502 0.00573505 0.00743329 0.03639367 0.07339442
  0.08376974 0.06819887 0.00827441 0.01657031 0.00196411 0.00992744
  0.00904281 0.03400682 0.00393233 0.00791787 0.02462408 0.02498507
  0.00833812 0.00503299 0.00351039 0.01132466 0.02698922]]","0.031192   0.00505429 0.01081925 0.02390941 0.06086651 0.05076227
  0.05537208 0.12745722 0.09845477 0.01134571 0.00288013 0.00803195
  0.01065966 0.00831617 0.0142758  0.01498791 0.05460232 0.03349731
  0.03679589 0.01776943 0.03450412 0.0198429  0.01871932 0.02638097
  0.02684864 0.01557057 0.04127133 0.03763061 0.03600293 0.01037449
  0.00611058 0.00454623 0.02291869 0.01176985 0.01045875]]"
took  forever  to  get  our  order  taken  water  refills  were  too  much  to  ask  for  and  the  only  time  she  was  fast  was  when  we  asked  for  our  bill  when  we  could  get  her  attention,restaurant,0,0,2,2,"0.07347248 0.34472778 0.03903651 0.01791781 0.01882008 0.13884218
  0.00959396 0.10408821 0.23481707 0.00038568 0.00039627 0.00010891
  0.0002334  0.00041677 0.00012771 0.00009449 0.00031206 0.00080525
  0.00160672 0.00335092 0.00038144 0.00125914 0.00028525 0.00145028
  0.00087841 0.00148144 0.00028179 0.00039988 0.00160712 0.00165062
  0.00052826 0.0002131  0.0000656  0.00015998 0.0002034 ]]","0.03874663 0.11006666 0.01048432 0.02452126 0.12600496 0.05634097
  0.08744816 0.3619237  0.15536478 0.00111035 0.0003944  0.00018531
  0.00009487 0.00004956 0.00016048 0.00077674 0.00214588 0.0024316
  0.00104339 0.00196515 0.0010829  0.00101492 0.00083249 0.00365602
  0.00234784 0.00042896 0.00158081 0.00405814 0.00161017 0.00053631
  0.00025495 0.00015874 0.0003149  0.00065366 0.00020997]]"
took  forever  to  get  our  order  taken  water  refills  were  too  much  to  ask  for  and  the  only  time  she  was  fast  was  when  we  asked  for  our  bill  when  we  could  get  her  attention,service,1,1,-1,-1,"0.02503689 0.01961212 0.00165944 0.00037874 0.00101804 0.00225866
  0.00086596 0.00176373 0.00631265 0.00022091 0.00029994 0.00016154
  0.00058938 0.00696519 0.00057321 0.00082974 0.00588567 0.02180876
  0.07423361 0.5314195  0.05723437 0.03869101 0.01032967 0.0151559
  0.00588368 0.1288184  0.0012368  0.00267212 0.00539575 0.00584325
  0.00165152 0.00103274 0.00090231 0.01214753 0.01111126]]","0.00137748 0.03825328 0.00013304 0.00052032 0.00038912 0.00017712
  0.00015168 0.00301506 0.00086101 0.00064698 0.00002903 0.00004066
  0.00016767 0.00001751 0.0002036  0.00052589 0.00299752 0.00429659
  0.00280105 0.8013753  0.01734385 0.02474556 0.00691628 0.04911434
  0.02159717 0.00192949 0.00837033 0.00262795 0.00130085 0.00051722
  0.00018481 0.00018619 0.00039487 0.005825   0.00096618]]"
"i', ""don't"", 'know  if', ""i'll"", 'be  back",ambience,0,0,2,2,"0.01494506 0.04951591 0.01773736 0.12779461 0.46984428 0.0307136
  0.2894492 ]]","0.04851661 0.17439324 0.18347436 0.06941837 0.00029543 0.4967987
  0.02710327]]"
"i', ""don't"", 'know  if', ""i'll"", 'be  back",drinks,0,0,2,2,"0.21441762 0.13685448 0.07412943 0.2550374  0.2174404  0.02870647
  0.07341421]]","0.01709464 0.0672614  0.10302005 0.00000338 0.02326186 0.78089386
  0.00846475]]"
"i', ""don't"", 'know  if', ""i'll"", 'be  back",food,0,0,2,2,"0.35493946 0.16834854 0.01919422 0.08668951 0.21711951 0.0498713
  0.10383745]]","0.00342366 0.11381445 0.11464589 0.07918294 0.15875505 0.39637068
  0.13380742]]"
"i', ""don't"", 'know  if', ""i'll"", 'be  back",location,0,0,2,2,"0.01222667 0.03486326 0.01052153 0.07844354 0.38306108 0.03837986
  0.44250408]]","0.08765463 0.14047045 0.10491113 0.12575893 0.17966443 0.34526032
  0.01628005]]"
"i', ""don't"", 'know  if', ""i'll"", 'be  back",restaurant,1,1,-1,-1,"0.01238691 0.12091771 0.01800104 0.20758379 0.49125734 0.02566957
  0.12418367]]","0.02291834 0.15893874 0.05606549 0.22055706 0.17605554 0.27073452
  0.0947303 ]]"
"i', ""don't"", 'know  if', ""i'll"", 'be  back",service,0,0,2,2,"0.0133823  0.01008344 0.01378976 0.10908817 0.4724945  0.04828943
  0.3328724 ]]","0.04201671 0.0493743  0.04312994 0.16142623 0.02754541 0.4362354
  0.24027197]]"
mama  mia  i  live  in  the  neighborhood  and  feel  lucky  to  live  by  such  a  great  pizza  place,ambience,0,1,2,2,"0.00288232 0.00107743 0.00055863 0.0012884  0.00035826 0.00071286
  0.01786109 0.02170109 0.9047932  0.01285542 0.01056358 0.01399403
  0.00081818 0.00112092 0.00066532 0.00359005 0.00124188 0.00391733]]","0.00015188 0.0004615  0.00030739 0.01657708 0.02192362 0.19866751
  0.07989757 0.03969863 0.0003239  0.44438553 0.06707996 0.06948244
  0.03298567 0.00602792 0.0022073  0.01108508 0.00066692 0.0080701 ]]"
mama  mia  i  live  in  the  neighborhood  and  feel  lucky  to  live  by  such  a  great  pizza  place,drinks,0,0,2,2,"0.11096918 0.02464267 0.01023571 0.00793696 0.00195227 0.00328416
  0.00623961 0.00604053 0.03696781 0.01777743 0.00762427 0.01483128
  0.00386085 0.0102618  0.02421794 0.11839204 0.33052668 0.26423883]]","0.00001173 0.00001542 0.00000688 0.00003825 0.00005503 0.00037244
  0.00012333 0.00010201 0.00016878 0.00065722 0.00019037 0.00038233
  0.00481182 0.01583137 0.01772559 0.64316845 0.00012977 0.3162093 ]]"
mama  mia  i  live  in  the  neighborhood  and  feel  lucky  to  live  by  such  a  great  pizza  place,food,0,1,2,2,"0.00340996 0.00043011 0.00008073 0.00013821 0.00002699 0.00002853
  0.00003781 0.00002794 0.00008553 0.00018036 0.00011356 0.00048004
  0.00011205 0.00079221 0.00099441 0.00446614 0.9501942  0.03840121]]","0.00003823 0.00001192 0.0000011  0.00000071 0.00000195 0.00000835
  0.00000203 0.00001343 0.00000225 0.00000923 0.00002937 0.00001367
  0.00177735 0.04828595 0.03586026 0.43761054 0.02483927 0.45149446]]"
mama  mia  i  live  in  the  neighborhood  and  feel  lucky  to  live  by  such  a  great  pizza  place,location,0,0,2,2,"0.00066543 0.00030843 0.00007369 0.00060086 0.00031449 0.00106259
  0.6494647  0.00321098 0.00658761 0.00176144 0.00854215 0.01536225
  0.00412242 0.00386693 0.00337094 0.00925417 0.1741014  0.11732947]]","0.00000569 0.00000793 0.00000338 0.00003073 0.00292919 0.10869566
  0.0002449  0.00034104 0.0001174  0.00124351 0.00312902 0.0031586
  0.03913283 0.04759391 0.0255583  0.21431962 0.12594856 0.42753977]]"
mama  mia  i  live  in  the  neighborhood  and  feel  lucky  to  live  by  such  a  great  pizza  place,restaurant,1,1,1,1,"0.00062914 0.00029938 0.00003181 0.0000937  0.00005152 0.00005909
  0.00309591 0.00017265 0.00039158 0.00036866 0.00053622 0.00059935
  0.00008246 0.00036756 0.00106865 0.0063822  0.69890404 0.28686604]]","0.00014383 0.00002304 0.00000328 0.00000377 0.0000269  0.00057884
  0.0000604  0.00006381 0.0000326  0.00007958 0.00008531 0.0000202
  0.00082705 0.02552235 0.04953803 0.46080458 0.44210964 0.02007667]]"
mama  mia  i  live  in  the  neighborhood  and  feel  lucky  to  live  by  such  a  great  pizza  place,service,0,0,2,2,"0.00097254 0.00030186 0.00007965 0.00010082 0.00001227 0.00007734
  0.00131095 0.0002937  0.00200988 0.00234668 0.00338969 0.00767856
  0.00650061 0.00480527 0.00622261 0.02005214 0.7351463  0.20869915]]","0.0024958  0.00088162 0.00011124 0.00011821 0.00015545 0.00058094
  0.00016621 0.00041673 0.00029059 0.00159307 0.0061691  0.00711712
  0.0436466  0.05731041 0.03378592 0.18029726 0.00573775 0.659126  ]]"
"the  only  problem  is  you  really  have  to  warm  up  the  pizza  before', ""it's"", 'edible  even  when  you  order  ahead",ambience,0,0,2,2,"0.00123987 0.00153259 0.0042368  0.00196705 0.00385798 0.00887401
  0.00145411 0.00702337 0.9608289  0.00394833 0.00119846 0.00074697
  0.00050029 0.00031713 0.00005006 0.00022027 0.00076852 0.00056744
  0.00028862 0.0003792 ]]","0.05154381 0.01236064 0.05053897 0.01214452 0.01275993 0.01498107
  0.16495062 0.31917346 0.00121175 0.20327108 0.00624869 0.08658647
  0.01003058 0.00056536 0.00060486 0.00292334 0.00561879 0.00860537
  0.0309107  0.00496997]]"
"the  only  problem  is  you  really  have  to  warm  up  the  pizza  before', ""it's"", 'edible  even  when  you  order  ahead",drinks,0,0,2,2,"0.01523345 0.04254184 0.05739187 0.01735753 0.02456626 0.01647705
  0.01026081 0.02197854 0.39658418 0.01927532 0.0113439  0.13155615
  0.13355802 0.01125233 0.00408722 0.01246826 0.02542084 0.01215515
  0.01696081 0.01953048]]","0.0000027  0.00000139 0.00001689 0.00002593 0.00008815 0.00007656
  0.02688294 0.10270003 0.         0.04961856 0.01079027 0.808011
  0.00159537 0.00000124 0.00001714 0.00000026 0.00000123 0.0000024
  0.00016642 0.00000145]]"
"the  only  problem  is  you  really  have  to  warm  up  the  pizza  before', ""it's"", 'edible  even  when  you  order  ahead",food,1,1,-1,1,"0.00654387 0.01094184 0.02920893 0.00980333 0.00183379 0.00085121
  0.00060157 0.00237183 0.01375815 0.00043758 0.00067332 0.81651497
  0.06728666 0.00261622 0.02898854 0.00175528 0.00380284 0.00028666
  0.00113575 0.00058763]]","0.03338208 0.02207932 0.03342445 0.00307279 0.00029175 0.00032609
  0.00192996 0.00650945 0.00940101 0.01127088 0.25983515 0.0469559
  0.2474741  0.14625917 0.17759268 0.00005116 0.00004273 0.0000108
  0.00004537 0.00004508]]"
"the  only  problem  is  you  really  have  to  warm  up  the  pizza  before', ""it's"", 'edible  even  when  you  order  ahead",location,0,0,2,2,"0.01302135 0.01716214 0.02975097 0.00934834 0.01119902 0.00432105
  0.00258453 0.03021763 0.05524354 0.00963104 0.01731789 0.43840018
  0.06424201 0.01770261 0.0048308  0.0051111  0.03003448 0.026974
  0.10865917 0.10424815]]","0.00437487 0.00100615 0.00237526 0.00012216 0.00005205 0.00003254
  0.00019458 0.0015721  0.00560519 0.00244976 0.9540635  0.00128923
  0.00805621 0.00295836 0.00564299 0.00064497 0.00169325 0.0020576
  0.00137675 0.00443255]]"
"the  only  problem  is  you  really  have  to  warm  up  the  pizza  before', ""it's"", 'edible  even  when  you  order  ahead",restaurant,0,0,2,2,"0.00868958 0.02217063 0.01687155 0.01032673 0.00741966 0.00219302
  0.00082017 0.00539423 0.07704711 0.00546914 0.00375083 0.36262316
  0.14844957 0.10944521 0.04906452 0.01883641 0.0595114  0.01781958
  0.04955549 0.02454201]]","0.00150071 0.00084261 0.00125711 0.00013004 0.00004717 0.00004377
  0.00037343 0.00192352 0.00281232 0.0043383  0.02790429 0.00886355
  0.07308733 0.49503356 0.36387587 0.00382063 0.00437136 0.00161477
  0.00710666 0.00105299]]"
"the  only  problem  is  you  really  have  to  warm  up  the  pizza  before', ""it's"", 'edible  even  when  you  order  ahead",service,0,0,2,2,"0.00071415 0.00149135 0.00783825 0.00285092 0.00430385 0.00418963
  0.00672707 0.06994139 0.16054296 0.00883618 0.00943182 0.47229147
  0.10337298 0.0069828  0.01287523 0.01131045 0.0770937  0.01073479
  0.01784993 0.01062107]]","0.00086878 0.00060207 0.00025796 0.00025554 0.00026807 0.00029323
  0.00026807 0.03484058 0.03356912 0.03320825 0.4243963  0.0437199
  0.21534619 0.04727816 0.07431751 0.01879468 0.03801572 0.00785819
  0.01752418 0.00831745]]"
"but  once  done', ""it's"", 'not  too  much  dough  not  too  much  cheese  not  too  much  sauce",ambience,0,0,2,2,"0.01465868 0.0265777  0.00895715 0.0196552  0.01620835 0.13005204
  0.0646861  0.43981388 0.06537039 0.10459784 0.01831125 0.04486679
  0.01461358 0.0240398  0.00348731 0.00410395]]","0.00055735 0.00051048 0.00626398 0.04240632 0.01976801 0.0729019
  0.22469813 0.00032984 0.0364962  0.06456856 0.26061687 0.26125404
  0.00196014 0.00209192 0.00482374 0.00075242]]"
"but  once  done', ""it's"", 'not  too  much  dough  not  too  much  cheese  not  too  much  sauce",drinks,0,0,2,2,"0.07391571 0.19204268 0.02453024 0.00558993 0.00566469 0.01255656
  0.00477442 0.1383576  0.02041771 0.0177952  0.00423565 0.34197184
  0.02046173 0.01777445 0.00315807 0.1167535 ]]","0.00224056 0.00321259 0.03857126 0.10070971 0.01235709 0.02912229
  0.20120539 0.3773794  0.01458864 0.02254485 0.17739953 0.00044845
  0.00110715 0.00206661 0.00779771 0.00924879]]"
"but  once  done', ""it's"", 'not  too  much  dough  not  too  much  cheese  not  too  much  sauce",food,1,1,1,-1,"0.00392115 0.01123833 0.00049283 0.00022337 0.00011017 0.00019717
  0.00007709 0.22619462 0.00124128 0.00073987 0.00012958 0.54682726
  0.0036436  0.00173875 0.00021252 0.20301244]]","0.00353474 0.00575427 0.04234854 0.5128945  0.00143028 0.00147064
  0.01615247 0.29766536 0.00597199 0.00586284 0.04774417 0.01958426
  0.00384765 0.00295184 0.01692653 0.01586   ]]"
"but  once  done', ""it's"", 'not  too  much  dough  not  too  much  cheese  not  too  much  sauce",location,0,0,2,2,"0.02830859 0.06200361 0.0073881  0.01446357 0.00774452 0.017174
  0.00958742 0.1780284  0.03287452 0.02970359 0.00910239 0.35421112
  0.04654931 0.03692378 0.00858518 0.15735191]]","0.00001993 0.00001629 0.00095041 0.01419515 0.00053684 0.00158769
  0.03498758 0.13908666 0.00488115 0.00862056 0.72907555 0.00000246
  0.00057443 0.00078792 0.03049233 0.03418502]]"
"but  once  done', ""it's"", 'not  too  much  dough  not  too  much  cheese  not  too  much  sauce",restaurant,0,0,2,2,"0.0621553  0.2859216  0.01984354 0.13296811 0.01719259 0.02310265
  0.00601057 0.32733276 0.00851308 0.00385156 0.00068896 0.10536514
  0.00191787 0.00081738 0.00012645 0.00419245]]","0.00086165 0.00053798 0.03112728 0.8812048  0.00237539 0.0019266
  0.05013523 0.00006992 0.00007749 0.00006274 0.0012024  0.03036921
  0.00000156 0.00000127 0.00000896 0.00003766]]"
"but  once  done', ""it's"", 'not  too  much  dough  not  too  much  cheese  not  too  much  sauce",service,0,0,2,2,"0.00974834 0.02400009 0.00317979 0.00126141 0.00117607 0.00201
  0.00062534 0.05279511 0.0040553  0.00435919 0.00104488 0.3537331
  0.02417041 0.01850569 0.00300159 0.4963337 ]]","0.00000019 0.00000027 0.00001724 0.00018467 0.00001286 0.00004956
  0.00142621 0.00481898 0.00019974 0.00057814 0.05867083 0.9245656
  0.00006365 0.00013387 0.00927811 0.00000002]]"
best  sushi  in  town,ambience,0,0,2,2,0.04373899 0.79625    0.113919   0.04609205]],0.96226794 0.00011642 0.03627608 0.0013396 ]]
best  sushi  in  town,drinks,0,0,2,2,0.0399836  0.92166895 0.03422523 0.00412222]],0.9792118  0.00030269 0.01994037 0.00054514]]
best  sushi  in  town,food,1,1,1,1,0.00557271 0.9862704  0.0079077  0.00024913]],0.9800387  0.00947136 0.0103308  0.00015909]]
best  sushi  in  town,location,0,0,2,2,0.02213598 0.8681507  0.03526985 0.07444345]],0.9897518  0.00016958 0.00974629 0.00033233]]
best  sushi  in  town,restaurant,0,0,2,2,0.00737675 0.96253705 0.02116856 0.00891761]],0.955635   0.03330974 0.01058778 0.0004675 ]]
best  sushi  in  town,service,0,0,2,2,0.01038135 0.96653706 0.01190068 0.0111809 ]],0.98902905 0.00006994 0.01074451 0.00015662]]
everything  you  want  and  more  very  fresh,ambience,0,0,2,2,"0.06594202 0.03437936 0.18980761 0.24207018 0.21185364 0.0372405
  0.21870668]]","0.31091875 0.11284543 0.17512593 0.08497316 0.11615019 0.05059186
  0.1493946 ]]"
everything  you  want  and  more  very  fresh,drinks,0,0,2,2,"0.22630745 0.07193564 0.08095586 0.02660752 0.05155611 0.02149748
  0.5211399 ]]","0.16897537 0.0061641  0.01154994 0.02072243 0.27779922 0.514097
  0.00069197]]"
everything  you  want  and  more  very  fresh,food,1,1,1,1,"0.28521916 0.03259144 0.01760172 0.00883151 0.02312535 0.01251182
  0.62011904]]","0.02597224 0.00065621 0.00148331 0.00843434 0.25909594 0.678632
  0.0257259 ]]"
everything  you  want  and  more  very  fresh,location,0,0,2,2,"0.14036135 0.11342099 0.17307125 0.09159029 0.13510683 0.03290132
  0.31354797]]","0.18913357 0.02382882 0.04404145 0.07811457 0.30900303 0.34484208
  0.01103651]]"
everything  you  want  and  more  very  fresh,restaurant,0,0,2,2,"0.14112183 0.08949921 0.09533591 0.06616103 0.08159944 0.01958769
  0.5066949 ]]","0.06804362 0.00824782 0.01738134 0.0456993  0.2875367  0.4332654
  0.13982584]]"
everything  you  want  and  more  very  fresh,service,0,0,2,2,"0.05643716 0.05061791 0.06279075 0.0724775  0.05579327 0.05472319
  0.64716023]]","0.08185169 0.00824833 0.01240378 0.05001902 0.26122385 0.57770175
  0.00855158]]"
"its  worth  the  wait  especially  since', ""they'll"", 'give  you  a  call  when  the  table  is  ready",ambience,0,0,2,2,"0.00486971 0.00201324 0.00914818 0.18060537 0.08734199 0.01266595
  0.00908309 0.0022515  0.00241294 0.00047832 0.00160606 0.00207484
  0.00215818 0.67850524 0.00234644 0.00243897]]","0.0108472  0.01619181 0.10767645 0.03409778 0.02106074 0.0079517
  0.0113787  0.00773931 0.00687593 0.00376528 0.00385941 0.01084337
  0.68828857 0.0410271  0.02287065 0.00552584]]"
"its  worth  the  wait  especially  since', ""they'll"", 'give  you  a  call  when  the  table  is  ready",drinks,0,0,2,2,"0.00658777 0.01892548 0.01382182 0.34136477 0.02593353 0.05878465
  0.02077347 0.02281714 0.01281213 0.00253923 0.01410092 0.01176841
  0.00957597 0.388669   0.01914443 0.03238128]]","0.00034354 0.00679492 0.03995102 0.019743   0.0056379  0.00241636
  0.00191376 0.03526143 0.00324943 0.01238585 0.01578943 0.01156261
  0.6942983  0.00003658 0.14792873 0.00268711]]"
"its  worth  the  wait  especially  since', ""they'll"", 'give  you  a  call  when  the  table  is  ready",food,0,0,2,2,"0.1063119  0.0497068  0.03873295 0.25322118 0.02890863 0.1482235
  0.04105543 0.003544   0.00262792 0.0009878  0.00430972 0.00888816
  0.00912483 0.23071888 0.02945539 0.04418291]]","0.08700491 0.06834653 0.37010983 0.02525416 0.01879674 0.0112934
  0.00822574 0.02632333 0.00137574 0.00403714 0.00272889 0.02509487
  0.13843814 0.13882476 0.03467534 0.03947054]]"
"its  worth  the  wait  especially  since', ""they'll"", 'give  you  a  call  when  the  table  is  ready",location,0,0,2,2,"0.00467854 0.00176465 0.00524232 0.05303902 0.00487016 0.00424713
  0.00610542 0.0013651  0.00498165 0.00176368 0.03029233 0.01276381
  0.01216386 0.81406766 0.01773005 0.02492464]]","0.02159338 0.01231126 0.0644412  0.02397919 0.00578114 0.00299907
  0.0039925  0.00618873 0.00367887 0.01319718 0.00626621 0.0307407
  0.6311334  0.08677977 0.04845426 0.03846316]]"
"its  worth  the  wait  especially  since', ""they'll"", 'give  you  a  call  when  the  table  is  ready",restaurant,1,0,1,2,"0.01119776 0.01650666 0.00683108 0.16154487 0.01110675 0.0182598
  0.01368848 0.00155013 0.00261806 0.00065665 0.00433742 0.00452164
  0.00330229 0.7314705  0.00685988 0.00554797]]","0.11994004 0.04349834 0.05817006 0.08120265 0.00452961 0.002386
  0.00226311 0.00901999 0.00109118 0.00227715 0.00139084 0.02426924
  0.5823431  0.02154331 0.03642711 0.00964818]]"
"its  worth  the  wait  especially  since', ""they'll"", 'give  you  a  call  when  the  table  is  ready",service,1,1,1,-1,"0.00296055 0.00131183 0.00443222 0.08347613 0.00347727 0.013083
  0.01251735 0.00273531 0.00571972 0.00183282 0.0295697  0.01961889
  0.01249454 0.7568754  0.01674335 0.03315193]]","0.00342793 0.004618   0.02310158 0.00905547 0.00418351 0.00826416
  0.01302885 0.00667881 0.00481498 0.03535632 0.01673515 0.03350533
  0.6950289  0.07112242 0.05039611 0.02068249]]"
the  best  calamari  in  seattle,ambience,0,0,2,2,0.04269643 0.07253594 0.7145924  0.12478897 0.04538627]],0.41357735 0.58333933 0.00005722 0.00291791 0.00010811]]
the  best  calamari  in  seattle,drinks,0,0,2,2,0.01121054 0.0404642  0.92008865 0.02312101 0.00511561]],0.12410299 0.8720993  0.00269217 0.0010658  0.00003968]]
the  best  calamari  in  seattle,food,1,1,1,1,0.00076207 0.00204762 0.9931668  0.00384954 0.00017398]],0.24449566 0.7271835  0.00549759 0.02257194 0.00025131]]
the  best  calamari  in  seattle,location,0,0,2,2,0.07332545 0.10039945 0.64453775 0.05755209 0.12418524]],0.214197   0.784018   0.00001431 0.00172613 0.00004454]]
the  best  calamari  in  seattle,restaurant,0,0,2,2,0.00509066 0.02759846 0.928042   0.02338405 0.01588482]],0.20919693 0.78188217 0.00660896 0.0022364  0.00007545]]
the  best  calamari  in  seattle,service,0,0,2,2,0.01605016 0.01808448 0.92876345 0.01618499 0.02091694]],0.24793097 0.74682546 0.00001519 0.0051635  0.00006488]]
and  the  best  summertime  deck  experience--they  will  even  bring  you  a  blanket  if  you  get  cold  in  the  seattle  evening  weather,ambience,1,1,1,1,"0.00026393 0.0008662  0.00246527 0.22304685 0.75549567 0.00999091
  0.00080202 0.000153   0.00103791 0.00011822 0.00002083 0.00516152
  0.00021226 0.00005634 0.00000962 0.00017887 0.00002534 0.00002033
  0.00005772 0.00001504 0.00000216]]","0.00001479 0.09773288 0.05980634 0.8318498  0.01057308 0.00001535
  0.00000187 0.00000039 0.00000142 0.00000028 0.00000122 0.00000065
  0.00000005 0.00000002 0.00000002 0.00000011 0.00000003 0.00000102
  0.0000003  0.00000024 0.00000018]]"
and  the  best  summertime  deck  experience--they  will  even  bring  you  a  blanket  if  you  get  cold  in  the  seattle  evening  weather,drinks,0,0,2,2,"0.00150633 0.00699287 0.02747924 0.05388231 0.03066631 0.01799612
  0.01006612 0.00486397 0.05290635 0.01858239 0.00458794 0.1592371
  0.19828986 0.04867515 0.01112214 0.33237275 0.00747709 0.00350022
  0.00900312 0.00068122 0.00011139]]","0.0000503  0.00494355 0.04862031 0.05157513 0.81410855 0.00015761
  0.00005015 0.00004391 0.00956998 0.00039652 0.0003253  0.00217565
  0.00052646 0.00082771 0.06645558 0.         0.00003645 0.00000371
  0.000003   0.00000385 0.00012614]]"
